Comment ID	Article ID	Date	Name	Recommendation Count	Body
CommentKey:cc750722-c0da-4cdc-ae4e-b03f762807a9	2000415867	Mon Feb 14 2011 09:18:59 GMT-0500 (EST)	AngryEasterner	25	Let's see the results of the inquiry will be:  Yes there was wrongdoing on the part of elected officials and...  No charges will be recommended. Case closed.  ...wait for it.
CommentKey:55e8cd83-151c-4d3b-972e-dc152eb36556	2000415867	Mon Feb 14 2011 09:27:58 GMT-0500 (EST)	tim-pros rebel	17	one or two things will happen-CHARGES LAID or probably the norm-NOTHING!!!
CommentKey:4e3f34c5-e3d0-461d-b5f3-10aeec1f1963	2000415867	Mon Feb 14 2011 09:38:44 GMT-0500 (EST)	EnoughAlready	18	This should be good
CommentKey:44aad8ed-00b5-43b7-b2e3-72642f9fc636	2000415867	Mon Feb 14 2011 10:01:10 GMT-0500 (EST)	pudgey1	14	This will be a joke just like the rcmp, the executive assisstants and others will be blamed and the mla's will be exonerated.
CommentKey:256d2c01-b202-4ffe-920e-79984b1f4c85	2000415867	Mon Feb 14 2011 10:17:10 GMT-0500 (EST)	King Richard	11	I am very interested in knowing whether they were Plasma Televisions or LCD and whether the custom furniture was leather or a cloth material.  It is very important to make sure these alleged free loaders have the best!!!
CommentKey:7b50631e-8e25-4c96-a343-4ba65ea95396	2000415867	Mon Feb 14 2011 10:19:53 GMT-0500 (EST)	good-ol-boy	13	Auditor General Jacques Lapointe said they "may have committed illegal acts," Good -old-boy says,they will get off on all charges as the other politicians will want to get off their charges when they are caught.
CommentKey:5ed865c6-bc68-4201-ae39-6a9247a49e62	2000415867	Mon Feb 14 2011 10:23:32 GMT-0500 (EST)	dave777	31	I will believe this is meaningful when the RCMP arrest them for fraud and the judge says guilty.
CommentKey:91e5a2f4-a6ce-46a9-a164-f8138f678e9c	2000415867	Mon Feb 14 2011 11:05:18 GMT-0500 (EST)	JasonAllan	25	When it comes to politicians that "may have committed illegal acts" no names or details were released. Why would an MLA need a generator in the legislature? Well, he actually wanted one for his cabin or travel trailer but what the heck, why pay for it yourself when you have an expense account. And he is only making six figures per year so he deserves some perks!
CommentKey:3a1b5cdd-503f-45ff-b737-eb1ce971133e	2000415867	Mon Feb 14 2011 11:05:36 GMT-0500 (EST)	Sturgeon637	17	I fear that Angry Eastener is right. Unless new laws are enacted to make sure the next time this happens, someone spends time behind bars, it will probably happen again.
CommentKey:86b502cc-1c66-446c-9652-74b02a47fd38	2000415867	Mon Feb 14 2011 11:16:21 GMT-0500 (EST)	Mako_26_	26	How the hell does some MLA justify buying a generator?
CommentKey:efdef830-d3e1-4f8d-b638-a9767333efba	2000415867	Mon Feb 14 2011 11:25:20 GMT-0500 (EST)	blanchecanadien	13	How about a report on all those MLAs working for foreign countries...like names?
CommentKey:126fc335-ee9a-4f15-b073-069cc5ab7cdb	2000415867	Mon Feb 14 2011 11:37:01 GMT-0500 (EST)	Ezze902	12	Cant go to jail while your in office.  All I expect is slap on the wrists...
CommentKey:5177d983-1d3f-4810-b4f5-adbb42fd1e76	2000415867	Mon Feb 14 2011 11:40:46 GMT-0500 (EST)	shysassy	13	Or they will pay back for what they took, & that will be the end of it !!!
CommentKey:3a33b660-4bac-482e-9af4-6c585b300bc5	2000415867	Mon Feb 14 2011 11:48:07 GMT-0500 (EST)	robert54	9	Let see How manny NDP are charged. My bet is 0
CommentKey:bfda12f6-d0aa-4b31-967e-889130becdf4	2000415867	Mon Feb 14 2011 11:50:12 GMT-0500 (EST)	RPGlacebay	21	I hear a bell, and its tolling.
CommentKey:350e6320-19ca-4366-8a80-ff132be6d2aa	2000415867	Mon Feb 14 2011 11:51:40 GMT-0500 (EST)	Mister K	10	Chances are these crooks in suits and skirts will walk away with no charges laid. It will then be up to the voters of NS to get rid of them in the next election. And remember though, that who ever you may vote in to replace your thief, chances are the new wannabe is just as capable of ripping you off as well. The system the MLAs put in place for their far too easy to get pensions and entitlements is still in place. Imagine these MLAs and their leaders telling us that they have to pay these big wages and pensions and entitlements in order to attract "quality" people into politics. Well that theory went out the window when the AG finally showed how right we were to suspect wrong doings going on in our government.And if what we had and still have is "quality" people, then we have been lied to again by the various leaders of the Parties. Enough BS. This is why more and more people have stopped voting. ABC ABL ABNDP
