Comment ID	Article ID	Date	Name	Recommendation Count	Body
CommentKey:a3333f39-5b87-4c66-a1fa-ee1066fbe086	2000415974	Mon Feb 14 2011 15:50:03 GMT-0500 (EST)	Howcanitbe	39	Thsi ladies opinion is irrelevant today .. she no longer runs the CRTC so who does she think she is   Just go back to quebec and save for opinions for that screwed up province ...
CommentKey:0fb62844-77dd-4c4a-9811-07b5a19d461c	2000415974	Mon Feb 14 2011 15:51:53 GMT-0500 (EST)	deathwombat	60	"Bertrand said she believes the government's actions are based on electoral concerns and pleasing voters."   As it should be! This is our country, and "we, the people" should have the final say.
CommentKey:5e4cd7bf-437c-481a-af67-12b982ad1862	2000415974	Mon Feb 14 2011 15:56:51 GMT-0500 (EST)	Zionist Shill aka Aromatic Bovine on the Alpine	29	Bertrand said she believes the government's actions are based on electoral concerns and pleasing voters.  @!%$*# politicians, pandering to the populace again!
CommentKey:ed0334db-f332-43df-9414-053517101dba	2000415974	Mon Feb 14 2011 15:58:35 GMT-0500 (EST)	DJ_Winn	26	Usage based billing puts Canada at the back of the pack for information technology. We are lightyears behind the US on this, there is so much competition there that unlimited plans are the norm. Here we have to pay a boatload of money for the same thing.  This woman is wrong, usage based billing needs to go. i know this is in regards to smaller ISPs renting bandwidth, but it applies to every ISP. Drop usage based billing.
CommentKey:d6cea300-aae9-4ada-8601-fd605b1cda27	2000415974	Mon Feb 14 2011 15:58:38 GMT-0500 (EST)	petes42	36	"It was not a political decision. It wasn't, 'I like your face, I don't like your face.' It's not based on an upcoming election. It was based on due process."  ---  Well Mme. Bertrand, I suppose I like the idea of the government trying to please voters more than the CRTC trying to please Big Telecom.  You may want us to sit down and shut up, but I choose not to, and if I need to go through my MP, the PM, and opposition leaders/critics to do that, I will damned well exercise that right.  Does the CRTC take public input?  Yes.  Are our voices as loud as Bell's well-funded voice?  I highly doubt it.
CommentKey:20dbe996-21cd-42b5-bd56-0365e9d63f65	2000415974	Mon Feb 14 2011 15:59:48 GMT-0500 (EST)	CBCPeterson	16	Wow, this lady is crazy...  She'd rather have companies who buy the CRTCs vote count more than the people who make this country the best it can be.    Remember crazy lady, the people own the government, NOT the other way around.
CommentKey:13b65c70-6510-4843-917e-960a4d68256b	2000415974	Mon Feb 14 2011 16:00:12 GMT-0500 (EST)	RobytheLake	22	What is really disturbing is how easily the CRTC accepted the view of the main broadband owners like Bell & Rogers, without considering the true low and getting lower cost of providing that bandwidth. Charging over 20 times the true cost of the bandwith is not in the best interest of Canadians.  The CRTC should have considered both sides of the equation before siding with the companies.
CommentKey:1c181637-fce7-449e-84bd-9c91852a0086	2000415974	Mon Feb 14 2011 16:00:25 GMT-0500 (EST)	Tripper	23	Bertrand is now president of the Federation of Quebec Chambers of Commerce. --------------------------- Francoise Bertrand also sits on the board of media giant Quebecor, which owns cable Internet provider Videotron -- an owner of network infrastructure that has supported the concept of usage-based billing for its wholesale clients.   CTV reported it.  Why did the CBC feel the need to leave that bit of info out?
CommentKey:661ff57e-9665-45ec-8eac-6cd4a2626e04	2000415974	Mon Feb 14 2011 16:02:16 GMT-0500 (EST)	Rafter	14	Disturbing ,, disturbing for who... it did not disturb me one bit that the government got involved and picked up for the little guy.. If I could vote out the CRTC I would.. its only there for big companies and the people of Canada know what happens to big companies they don't give a heck about customers only about the CEO's and big bonuses .. So to Francoise Bertrand I really don't give a hoot what you really think may be Disturbing.
CommentKey:1d899c4c-f70a-4bad-990e-30d0f7ef9a47	2000415974	Mon Feb 14 2011 16:02:40 GMT-0500 (EST)	Jteller	16	Dear CBC - Kindly explain the journalistic value in reporting on what a former head of the CRTC thinks about a recent government intervention with the non-elected body, an intervention government is allowed to proceed with under the law. Bertrand has been out of the position for a decade, therefore, this news story has all the earmarks of a drive by smear and the CBC seems intent on filling the tank with unleaded.
CommentKey:5e0c1aa1-0f74-4f29-a5fc-105953739cae	2000415974	Mon Feb 14 2011 16:02:47 GMT-0500 (EST)	BeInformed	34	What people want is for the CRTC to be abolished and for competition to flood the market. Its time to end government sponsored Trust's. Bring in competition so I got the most for my hard earned dollar!
CommentKey:783d325d-6c77-4dd8-8703-b749e274b7a8	2000415974	Mon Feb 14 2011 16:03:49 GMT-0500 (EST)	Broker	10	The problem with the will of the people is that most don't take the trouble to do the barest of research prior to forming an opinion on this or any other topic.  It's good to have an opinion, but better still to have an informed opinion.
CommentKey:039660b0-377a-4d99-88d5-a43644dc8c23	2000415974	Mon Feb 14 2011 16:03:53 GMT-0500 (EST)	Unbiasvoter	12	Bertrand is now president of the Federation of Corrupt Chambers of Commerce.
CommentKey:357782e4-bcc5-452a-ae6a-255851561f22	2000415974	Mon Feb 14 2011 16:04:06 GMT-0500 (EST)	rudyher	18	Here's the thing Ms Bertrand...  This is not the CRTC's Canada, this is the 'people's country.  CRTC works for us, not the other way around.  If the CRTC has a problem with this simple idea, then it's time to start over.
CommentKey:070808f7-dddc-4ef3-a5c0-e4960c77c904	2000415974	Mon Feb 14 2011 16:04:13 GMT-0500 (EST)	city_life	8	Quoting above "Bertrand said she has remained largely silent on telecom issues over the last decade since leaving her position so that she wouldn't be seen as an armchair quarterback."  You should have remained silent and thanked the stars that you the current head and past board members of the CRTC have not been charged with working against the interest of the Canadian people over the past several decades.    You have been part of the shills for big business who have maintained the monopoly by the Bell, Rogers and Telus over telecom in this country to the point where we in Canada now have some of the highest rates anywhere for less service and lacking inovatice products & service that come from competition.  So keep quite as we don't really care what you think.
CommentKey:fe28ffdf-2d14-4202-a3ce-26f3819d90de	2000415974	Mon Feb 14 2011 16:05:18 GMT-0500 (EST)	RomeoCostello	1	The former chairwoman said, "there are rules, principles, policies, legislation and regulation, and businesses develop their business plans"  As an Independent arm of the government, the CRTC is there to enforce the "rules, principles, policies, legislation and regulation".   If the government doesn't like the ruling they are the ones who write the rules so change the law.  But they can't because they only represent 1/3 of Canadians and the other 2/3 realize that the rules must be followed.
CommentKey:2c5842c9-700c-4c85-b718-00f269ae8664	2000415974	Mon Feb 14 2011 16:05:24 GMT-0500 (EST)	PITTRULE	9	The CRTC does nothing BUT stop investment under the "must have Canadian content or investment rule".  God forbid the government listen to the voters right?  Here's the solution, get rid of the CRTC and allow competition like the rest of the Western world.  Enough of this Canadian ownership garbage.
CommentKey:994fe5cc-97bb-46d3-b509-69947a361cc6	2000415974	Mon Feb 14 2011 16:05:58 GMT-0500 (EST)	Oilershockeyfan	15	Is this the same woman that sits on the board of Quebecor? Is so, she has no place commenting as she would stand to benefit from any decision that would go the way of industry.
CommentKey:feaeefb2-ced0-4faa-967d-9354d694a817	2000415974	Mon Feb 14 2011 16:07:02 GMT-0500 (EST)	roogleso	9	The comments from this former leader of the CRTC reinforce my belief that it is time for this commission to be disbanded.  Let Parliament vote on these matters so that we can contact our MPs and weigh in on issues.  Tony Clement is right to tell the CRTC what the government wants done.  It is likely that a majority of Canadians are unhappy with the CRTC --- so isn't it time to fix it?
