Comment ID	Article ID	Date	Name	Recommendation Count	Body
CommentKey:331ee45e-256d-4b1e-b335-59b676cc54c1	2000413712	Wed Feb 02 2011 15:31:55 GMT-0500 (EST)	the original jr	12	Sir Alex Ferguson (Manager of Man U) said a team is in trouble when the players and their egos get bigger than the coach/team.  The NHL is a prime example of players running (ruining?) the league.
CommentKey:3144d3e5-2e27-4990-a2ca-e92c0013a8a6	2000413712	Wed Feb 02 2011 15:35:13 GMT-0500 (EST)	stewie's mom	14	the problem's not with Ron Wilson, but with Brian Burke..get rid of him..
CommentKey:17fa115c-da62-4ce0-87f0-f8572e66c506	2000413712	Wed Feb 02 2011 15:38:36 GMT-0500 (EST)	Island Ian	31	Who cares what Don Cherry thinks?  The guy is a loud-mouthed bigot.  And if you disagree with him being a bigot, just look at how he's spoken out against P.K. Subban.
CommentKey:79cb702b-5017-413a-b5ce-e339aa807b6b	2000413712	Wed Feb 02 2011 15:39:19 GMT-0500 (EST)	HockeyGuy12	6	I think that was a bold move by don cherry to stand up for ron wilson. I dont blame the playerrs of the nhl saying that he is the least liked coach that they would want to play for... If you look at his past success the past few years his team and their reputation has gone down the toilet. He is a good man but just not a coach fit for the job of coaching a team like the maple leafs. He is not strong willed enough and he constantly has problems withe the media and his own players. If he wants to keep his job and get players to start liking him he needs to make some major changes in the way he coaches and his attitude. The maple leafs have not made the playoffs for many years since the sundin days and i dont think they will be getting anywhere close for another few years too. They have some serious issues regaurding goaltending, offensive scoring, coaching, etc. I love don cherry but he makes some really stupid moves sometimes. Im not saying standing up for ron is bad but if you think about it, it just makes ron look more like a bad coach. I liked ron wilson back when he coached san jose. At least there he was liked and had some success.
CommentKey:2253c890-be98-4ec8-a53f-e77f9f3a4b45	2000413712	Wed Feb 02 2011 15:45:04 GMT-0500 (EST)	Canuck47	34	I don't exactly blame Cherry for speaking out....Wilson may not be the most popular or even competent coach in the league, but Scotty Bowman himself couldn't turn the Leafs around....they don't have enough talent.
CommentKey:d3c7b9eb-324a-409e-abf1-933602e8b15d	2000413712	Wed Feb 02 2011 15:45:25 GMT-0500 (EST)	Brody Zapf	13	"...Napoleon" to "pompous and arrogant" to "bully."  Where these comments directed at Wilson or yourself Don?
CommentKey:2050e8a4-23c9-499f-bc82-fe5077dea3ef	2000413712	Wed Feb 02 2011 15:45:26 GMT-0500 (EST)	Angoot	5	Of course Don would defend him, he sells more Rock em Sock em to them Leaves fans. He doesn't really care, he cares he sells more videos to Leaves fan, too much Leaves content on those videos, which are not deserving...he sells more, the more Leaves content in the videos.
CommentKey:924fca97-9928-42b9-b18b-b459e7b50e87	2000413712	Wed Feb 02 2011 15:45:30 GMT-0500 (EST)	spiderking	15	The irony - it burns!  I like the photo with the people in the background laughing at him. Someone get that man a red clown nose.
CommentKey:fb01c782-b737-439d-9d91-80370cd44fd7	2000413712	Wed Feb 02 2011 15:46:52 GMT-0500 (EST)	Stalag13	4	A bunch uncoachable, incompetent millionaire jocks, in a mediocre league..imagine that a bunch of whiny brats making multi millions a years..get rid of them and get them real jobs..time to put real hockey players in there..who will earn their money instead of blaming the coach all the time! Get rid of NHLPA!
CommentKey:4732051d-477e-470f-8ef2-cae666857fc5	2000413712	Wed Feb 02 2011 15:47:31 GMT-0500 (EST)	concerndone	9	Something needs to change, how about starting with the coach
CommentKey:b769a462-6bef-4776-a139-cc089f686d35	2000413712	Wed Feb 02 2011 15:48:53 GMT-0500 (EST)	MarkGresch	2	The problem with playing in Toronto is the Toronto media. No team in the league has the same pressure and media madness surrounding it then Toronto. That and the curse.
