Comment ID	Article ID	Date	Name	Recommendation Count	Body
CommentKey:4b52142e-9967-465a-8031-e81f2e2049a6	2000415568	Fri Feb 11 2011 17:08:54 GMT-0500 (EST)	pj4nier	38	Now Harper will do all he can to provoke an election and all the while he will blame the opposition for forcing one on us.  I pray that 37% of Canadians recognize what a manipulative and deceitful man Harper is - but only the day after he calls the election.
CommentKey:4a622dea-3d09-4ce6-8dcd-093889e06ebe	2000415568	Fri Feb 11 2011 17:13:40 GMT-0500 (EST)	NorthernThunder	108	"If the Conservatives are so unpopular, why do they always come out on top of these polls?"
CommentKey:e710fcda-b123-45a6-ba8d-c61a937e0200	2000415568	Fri Feb 11 2011 17:15:29 GMT-0500 (EST)	backdoor	64	This is so hard to believe ...The crap that is going on with this government ..What are Canadians thinking .
CommentKey:78a1852f-5129-40d7-b8d6-fb43b1d54ceb	2000415568	Fri Feb 11 2011 17:15:36 GMT-0500 (EST)	ardybob	55	Interesting!
CommentKey:0d6a82cf-4731-4fe8-9b8e-ec0f9d719a90	2000415568	Fri Feb 11 2011 17:15:57 GMT-0500 (EST)	Coswrd	10	It is time for a new political party in Canada to replace the aging broken Liberal Party. The Liberals spend their time trying to woo voters from the NDP while trying to hold onto the center right voters. It just is not possible for this to succeed and Canada deserves better choice than choosing their center left party from the NDP and the Liberals. The NDP will never see power and the Liberals are fading fast. Time to create a new party that effectively swallows these two and can ensure Canadians that a Con majority will remain a dream.
CommentKey:5c690957-2d57-4962-a77b-990d3892eaac	2000415568	Fri Feb 11 2011 17:18:39 GMT-0500 (EST)	Micnic	94	"Amazing!  Despite all that Harper has lied about, seems he has succesfully fooled a lot of people!"
CommentKey:ab98d149-460f-4193-a8f6-21dd429fedba	2000415568	Fri Feb 11 2011 17:21:10 GMT-0500 (EST)	j_andrew23	51	"The Conservatives are so corrupt, even the polling is corrupt."
CommentKey:c762216d-e4db-484a-9f61-dda7a482e2aa	2000415568	Fri Feb 11 2011 17:22:37 GMT-0500 (EST)	TTTTTT	16	I give up.....
CommentKey:490ce106-0d04-449b-99fb-238b07498929	2000415568	Fri Feb 11 2011 17:22:40 GMT-0500 (EST)	undermedia	31	"Anyone else wanna bet the Conservatives will be swiftly changing their ""unnecessary/irresponsible election"" tune in light of this?"
CommentKey:d8344216-852e-42c5-a726-35ce0116f8e3	2000415568	Fri Feb 11 2011 17:25:09 GMT-0500 (EST)	Ragtime	67	The lefties interpretation of this will be priceless! Bring it on I need some high level stimulation. You know from the intellectuals.
CommentKey:b251f01f-2936-41fb-98c3-491a079f770a	2000415568	Fri Feb 11 2011 17:28:15 GMT-0500 (EST)	Susan L	36	"The polls out of writ are about as credible as the horoscopes.  Lest we forget, the out of writ polls are also the ones that told us Kim Campbell would be our next PM in 1993."
CommentKey:2e84f1c3-fe23-4a00-b0fd-cb887b2eaf63	2000415568	Fri Feb 11 2011 17:28:17 GMT-0500 (EST)	pittsky	72	Election please.  A Conservative majority is what this country needs.
CommentKey:eea8c645-a634-4725-befe-119caafdcf4c	2000415568	Fri Feb 11 2011 17:28:51 GMT-0500 (EST)	Aprobrius	21	"Egypt has forced an evil regime from power and we must do the same.  Ekos poll or Harris Decima that, when a co-alized group of patriots restores Democracy and honesty to Canadian government."
CommentKey:47e07af1-033a-4607-a930-2b591fb468c4	2000415568	Fri Feb 11 2011 17:29:01 GMT-0500 (EST)	CommonersSay	69	This Conservative gov't may not be all things to all people but Canadians are realizing that they provide competent and scandal free governing; that's a minimum that Canadians expect and had not received from successive Liberal gov'ts.
CommentKey:9c118340-46ea-4721-b2cf-7cc8a1b1cbc2	2000415568	Fri Feb 11 2011 17:30:01 GMT-0500 (EST)	dgordon	54	"Nice News,   Thanks Frank"
CommentKey:8c338a32-d80a-4596-926e-071100baee96	2000415568	Fri Feb 11 2011 17:30:06 GMT-0500 (EST)	Starboard is for the governor	44	"I can hardly wait for an election so P.M. Harper can get the majority we Canadians need and deserve for our government to make the decisions required to rein in our deficit and to deal with criminals, illegal immigrants, traitors and a host of issues that cannot be dealt with by a minority government. We need to protect our economy from the ""tax and spend' Liberals and their adscam friends."
CommentKey:351c9da4-589c-46fb-8b75-83b6bb675753	2000415568	Fri Feb 11 2011 17:32:31 GMT-0500 (EST)	bgGruff	24	if it acts looks and sniffs like a wannabe dictatorship it probably is.. how is it that Canadians tolerate a minority government that muzzles  federal watchdogs..dissolves Parliament to avoid a confidence vote.. has the tightest grip on the nations news press ever..controls the RCMP through the PMO appointed commissioner..tells canadians what they are concerned about..and not concerned about..has racked up the  biggest Canadian deficit on record..and is not about to slow down on  discretionary spending.. don't ever give this man a majority mandate..he will tell canadians they  don't need opposition parties..aren't interested in elections..and that parliament is a waste of time and money..Mr Harper obviously thinks  so..
CommentKey:0ef78ca5-0ee9-48cc-9d9a-f3406cf89e46	2000415568	Fri Feb 11 2011 17:35:05 GMT-0500 (EST)	dgordon	22	With these numbers the seat count may be in majority territory already  Lets see another  poll  first to compare
CommentKey:921a5413-e7a2-4165-b31b-4ce403e02e45	2000415568	Fri Feb 11 2011 17:36:13 GMT-0500 (EST)	censoredone	42	"No big surprise here that the CBC tried to bury their Liberal polster with this type of news. My word little Iggy's red sweater getting messy again, oh the horror.Where is the CBC blogging princess with her analysis? .....I got it bad news in the poll for the Liberals and the CBC doesn't say a word and buries the news story a day later and on a Friday. Nice!! What is next the CBC blocking access to information requests?"
CommentKey:21089923-f95b-4164-bcee-0c2fca6c4c2a	2000415568	Fri Feb 11 2011 17:38:19 GMT-0500 (EST)	Marie Rivera	12	"Okay, Now lets look for the real polls on election day. There is where it will show the real results.In an actual campaigne Ignatieff will have a chance to announce to all of Canada his polices and platform and his ability to answer the media honestly because its plain to see that they currently are not and I am talking about the CBC as well.  The media sure isin't  giving hiom fair air time or coverage.Evans can't stop himself from interuppting and is a poor choice to host Power & Plolitics.   Mr Ignatieff has been holding town hall meetings actually meeting the average Canadian. Anwering all questiuons without prompts and Canadians can tell  truth from propaganda and will make Stevie look like an idiot and how very much out of hthe league he really is in."
CommentKey:d06b7e91-4aa1-4ab0-9153-6a926afd6d98	2000415568	Fri Feb 11 2011 17:38:21 GMT-0500 (EST)	Ali Oop	11	"Roughly 1/3 of Canadians on the right still dictate to the 2/3 of Canadians left of center.  I'd rather see a coalition than Harper continue to erode what is decent about Canada and take us down the road of more prisons (when crime is declining), corporate tax cuts while cutting services, and more war machinery.    Just be glad we won't see the true agenda he would bring out with a majority!"
CommentKey:0d36a434-285f-4342-9571-97e164c5097c	2000415568	Fri Feb 11 2011 17:41:34 GMT-0500 (EST)	MatthewMcCabe	11	"It seems the Canadian public fails to grasp the fact that the Conservative Party acts only in the interest of corporations.  If they did their research and looked at more objective news sources(such as the BBC, Al Jazeera, etc) they would come to this conclusion on their own."
CommentKey:1071558b-5fb5-4c87-a50e-47b8d74c1052	2000415568	Fri Feb 11 2011 17:42:20 GMT-0500 (EST)	Man-O-Man	9	If this poll is actually true then we are in deep deep trouble in this country.  Stephen Harper may in fact get his wish for a 2 party system which I believe is bad for democracy but will ultimatley ensure that conservatives will become a permanent opposition party like the BQ.
CommentKey:a48fa63a-01a5-4128-ba1d-4abd9b663d38	2000415568	Fri Feb 11 2011 17:43:24 GMT-0500 (EST)	duffyks	44	Am willing to bet that there will be a flu epidemic in the opposition pary when the time to vote for the budget arrives?
CommentKey:084aa01b-d041-41c0-a31f-d5505cfe5f75	2000415568	Fri Feb 11 2011 17:44:49 GMT-0500 (EST)	IPSCMP40	49	"Opposition fortunes have taken a decidedly downward pitch since they started talking election, the EKOS report said.  ""The Liberals and the NDP... might want to consider an urgent rethink of their preliminary election framing, or perhaps even the idea of an election at all.""  ~~~~~~~~~~~~~~~~~~~~~~~~~~~ I am for an election, which will bring about a majority Conservative Gov't"
CommentKey:bf77ae68-3838-4ffa-bda7-ca92c55d67c7	2000415568	Fri Feb 11 2011 17:45:33 GMT-0500 (EST)	dumlibs12345	44	lo lol lol lol  I knew it that's why they took so long to release this one. The CBC waited till Friday in hopes no one would see it!
CommentKey:a618583c-5eff-4a77-b6d8-61c2a2f90733	2000415568	Fri Feb 11 2011 17:46:15 GMT-0500 (EST)	Settler1920	36	"Gut check time for the Grits, but no guts!"
CommentKey:f845edea-fd78-45e5-a5c8-0a80bf016a02	2000415568	Fri Feb 11 2011 17:48:40 GMT-0500 (EST)	Maxx 1964	19	I will never vote Conservative.  Lets have a Spring Election and Prove These Pollsters were Wrong.  The Youth of Canada will never vote for the Hypocrite called Harper.
CommentKey:cc88b9bf-0478-4780-a956-beaff77a9f54	2000415568	Fri Feb 11 2011 17:48:49 GMT-0500 (EST)	DJ1951	33	"We see Dalton putting the breaks on his programs in Ontario in an effort to stop the bleeding by the Liberals in Ontario AND we see the Liberals bleeding support federally to the point where one wonders what these guys are thinking.  I personally believe that the Federal Liberals live in a dream world.   Canadians (other than some of you on this forum) do not want IGGY, do not want an election and will turf the Liberals out everywhere if they are not careful.    So to our Liberal friends...you may be ready for an election campaign but I doubt if you are ready for the results...the destruction of the Liberal Party of Canada."
CommentKey:282e2a9c-cbe6-4305-92c2-789361abc3a3	2000415568	Fri Feb 11 2011 17:49:24 GMT-0500 (EST)	ScottyG	32	"Sorry, I was going to post a minute ago, but I had to stop laughing first. -- Iggy has been so over the top, so full of it, so out of touch, I think some times I am watching the Gong Show. -- Really, Forget the Failed liberal policy, lets just laugh at the eye brows and yellow teeth, and the Big mouth attitude he has. -- Next time Liberals, don't import your leader and think a bit more before you get some guy like Bob RAE to work for you.   -- So now that you know your a lost cause, can we get you to tone it down, pass the budget and let things carry on already."
CommentKey:a876fc72-a5fa-48c6-96fb-93c32275c5b3	2000415568	Fri Feb 11 2011 17:49:42 GMT-0500 (EST)	libsrtoast	37	lo lol  Good bye Iggy!!!!!!!   I knew something was up when the CBC didn't release this on Thursday.  Franky the Liberals Graves must be getting an earful from LPC head quarters. Looks like no spring election however there will be a lot of back side kissing in the house this spring. Harper shouuld start governing like he has a majority.  Cry you leftoids CRY
CommentKey:c4229b1b-3e75-4168-a2c3-15708b6ab014	2000415568	Fri Feb 11 2011 17:49:59 GMT-0500 (EST)	Aulden Gray	21	God help our country.
CommentKey:335e5875-7fc5-42eb-85c4-1c7f1a383c20	2000415568	Fri Feb 11 2011 17:50:54 GMT-0500 (EST)	dgordon	43	"come on CBC, you gotta make this front page news sometime. I know it hurts"
CommentKey:fa9afef8-2337-4905-bf53-64de95e7fbc5	2000415568	Fri Feb 11 2011 17:53:17 GMT-0500 (EST)	Inter Refugee	37	Calling Iggy ! Calling Iggy ! Bus for Harvard departing !  All your experience with bus tours should now come in handy !
CommentKey:d4713a62-1e68-4176-8a0a-e15b0026ccdd	2000415568	Fri Feb 11 2011 17:53:31 GMT-0500 (EST)	Kkppmm33	17	How this Government continues to lead the polls is beyond me!
CommentKey:3b94dc1e-3856-433a-9275-f5fbcbc06ff4	2000415568	Fri Feb 11 2011 17:53:34 GMT-0500 (EST)	libsrtoast	34	lol  Iggy is sucking worse than Dion.  lol  Only a few more months left in the history of the LPC.  When they fold what will Toronto do?
CommentKey:92b1dcdf-e17d-4466-85e6-b1f1c4fe6205	2000415568	Fri Feb 11 2011 17:53:58 GMT-0500 (EST)	Martin in ottawa	12	"Well, now it appears to be official. I always knew that the majority of Harper supporters were pretty dim, but it is now confirmed that almost 40% of all Canadians are similarly dim. Unbelievable - very poor economic management(record deficit, massive growth of government) complete lack of transpartency, outright lying to the public - with a straight face - doctoring documents, firing those who dare to disagree or who believe in facts.... you name it. these clowns appear to get away with it all. Our national embarrassment seems destined to continue for some time. Sigh."
CommentKey:1026d3f5-cc87-425d-b0b7-11eac953a909	2000415568	Fri Feb 11 2011 17:54:37 GMT-0500 (EST)	patio888	19	"Steve Harper and his Con government do not deserve a second mandate, even as a minority government. Too much underhanded actions from these dull thuds."
CommentKey:1036fc18-a506-4292-b68d-802e111e873d	2000415568	Fri Feb 11 2011 17:55:45 GMT-0500 (EST)	civicboy	8	If polling had any direct relation to our electoral process....people might care...but it doesn't...so the only people that pay much attention to these are politicians and their direct supporters  I couldn't care less about the weekly play-by-play polling analysis that all the pundits participate in...it doesn't mean much at all.
CommentKey:0bbd52c1-5186-4628-a2ed-1a96e770a7ab	2000415568	Fri Feb 11 2011 17:56:47 GMT-0500 (EST)	Iceman6802	23	"Oh gee, back to the drawing board liberals. Your protest a day strategy isn't working. Maybe get rid of the daily Bob Rae foreign briefings(aimed at getting him a seat at the UN some day-what a goof) and stop flipping on gun control, taxes, and crime bills. Your passing of a transgendered bill yesterday didn't help Mr. Ignatieff."
CommentKey:014a28e1-028b-4047-befc-75e794ad2f47	2000415568	Fri Feb 11 2011 17:57:50 GMT-0500 (EST)	Leftard	19	"People don't buy the lieberal kool-aid.  Conservative majority! The only problem is, is that the conservatives feel like liberals :("
CommentKey:81b31ec7-20df-47df-ad78-5b532e3a53ca	2000415568	Fri Feb 11 2011 17:58:03 GMT-0500 (EST)	Arctic Dude	11	"Harper can cheat, lie, steal and openly act Republican and the Liberals still go down in the polls. Why can't Iggy take a hint."
